Chapter,Institution,Location,District,Charter Date,Status,Lat,Long
Alpha Eta,University of Florida,"Gainesville, Florida",Southeast,"May 25, 1931",Active,29.6519396,-82.3249961
Alpha Theta,University of Northern Colorado,"Greeley, Colorado",Midwest,"June 6, 1931",Active,40.4233142,-104.7091322
Alpha Iota,University of Colorado,"Boulder, Colorado",Midwest,"June 7, 1931",Active,40.0149856,-105.2705456
Alpha Kappa,George Washington University,"Washington, D.C.",Northeast,"December 4, 1933",Inactive,38.8950092,-77.0365625
Alpha Lambda,University of Denver,"Denver, Colorado",Midwest,"June 8, 1934",Inactive,39.7392364,-104.9848623
Alpha Mu,North Dakota State University,"Fargo, North Dakota",Midwest,"May 5, 1935",Inactive,46.877229,-96.789821
Alpha Nu,University of Wyoming,"Laramie, Wyoming",Midwest,"May 12, 1935",Active,41.311367,-105.591101
Alpha Xi,Stetson University,"DeLand, Florida",Southeast,"December 14, 1935",Inactive,29.0283213,-81.3031098
Alpha Omicron,Texas Tech University,"Lubbock, Texas",Southwest,"March 12, 1938",Active,33.5778631,-101.8551665
Alpha Pi,University of Tulsa,"Tulsa, Oklahoma",Southwest,"March 18, 1938",Inactive,36.1556805,-95.9929113
Alpha Rho,Northeastern State University,"Tahlequah, Oklahoma",Southwest,"May 2, 1938",Inactive,35.91537,-94.969956
Alpha Sigma,University of Tampa,"Tampa, Florida",Southeast,"May 11, 1941",Active,27.9477595,-82.458444
Alpha Tau,University of Texas at Austin,"Austin, Texas",Southwest,"May 18, 1940",Active,30.2711286,-97.7436995
Alpha Upsilon,University of Southern California,"Los Angeles, California",Western,"April 11, 1942",Inactive,34.0536834,-118.2427669
Alpha Phi,Rutgers University,"New Brunswick, New Jersey",Northeast,"April 16, 1942",Inactive,40.4862174,-74.4518173
Alpha Chi,University of Texas at El Paso,"El Paso, Texas",Southwest,"April 5, 1947",Active,31.7600372,-106.487287
Alpha Psi,West Texas A&M University,"Canyon, Texas",Southwest,"October 25, 1947",Active,34.9798392,-101.9193395
Alpha Omega,University of Pittsburgh,"Pittsburgh, Pennsylvania",Northeast,"February 14, 1948",Active,40.4416941,-79.9900861
Beta Alpha,Baylor University,"Waco, Texas",Southwest,"February 14, 1948",Active,31.549333,-97.1466695
Beta Beta,University of Mississippi,"Oxford, Mississippi",Southeast,"April 26, 1948",Inactive,34.3664127,-89.5187664
Beta Gamma,Louisiana State University,"Baton Rouge, Louisiana",Southwest,"May 16, 1948",Active,30.4459596,-91.18738
Beta Delta,Sam Houston State University,"Huntsville, Texas",Southwest,"May 15, 1948",Inactive,30.7235263,-95.5507771
Beta Epsilon,University of South Dakota,"Vermillion, South Dakota",Midwest,"November 7, 1948",Inactive,42.7795273,-96.929101
Beta Zeta,Long Island University,"Brooklyn, New York",Northeast,"February 11, 1949",Inactive,40.6501038,-73.9495823
Beta Eta,University of Tennessee,"Knoxville, Tennessee",Southeast,"March 20, 1949",Inactive,35.9603948,-83.9210261
Beta Theta,University of Utah,"Salt Lake City, Utah",Western,"April 30, 1949",Inactive,40.7670126,-111.8904308
Beta Iota,Nebraska Wesleyan University,"Lincoln, Nebraska",Midwest,"April 23, 1949",Inactive,40.8,-96.667821
Beta Kappa,Bowling Green State University,"Bowling Green, Ohio",North Central,"April 17, 1949",Active,41.3747744,-83.6513229
Beta Lambda,Eastern New Mexico University,"Portales, New Mexico",Southwest,"May 8, 1949",Active,34.1861922,-103.3343978
Beta Mu,Emory University,"Atlanta, Georgia",Southeast,"May 30, 1949",Inactive,33.7490987,-84.3901849
Beta Nu,VanderCook College of Music,"Chicago, Illinois",North Central,"December 19, 1949",Inactive,41.8755616,-87.6244212
Beta Xi,Sul Ross State University,"Alpine, Texas",Southwest,"December 4, 1949",Inactive,30.3573802,-103.6609367
Beta Omicron,Arizona State University,"Tempe, Arizona",Western,"November 13, 1949",Active,33.4255056,-111.9400125
Beta Pi,Drury University,"Springfield, Missouri",Midwest,"December 17, 1949",Inactive,37.2166779,-93.2920373
Beta Rho,University of Toledo,"Toledo, Ohio",North Central,"January 15, 1950",Active,41.6786754,-83.5127283
Beta Sigma,University of Houston,"Houston, Texas",Southwest,"January 21, 1950",Active,29.7589382,-95.3676974
Beta Tau,Wichita State University,"Wichita, Kansas",Midwest,"January 19, 1950",Probation,37.6922361,-97.3375448
Beta Upsilon,Abilene Christian University,"Abilene, Texas",Southwest,"March 25, 1950",Inactive,32.4466741,-99.7333011
Beta Phi,Southern Methodist University,"Dallas, Texas",Southwest,"March 25, 1950",Inactive,32.7762719,-96.7968559
Beta Chi,University of Virginia,"Charlottesville, Virginia",Northeast,"September 23, 1950",Active,38.029306,-78.4766781
Beta Psi,Kent State University,"Kent, Ohio",North Central,"February 25, 1951",Active,41.1536674,-81.357886
Beta Omega,Case Western Reserve University,"Cleveland, Ohio",North Central,"May 20, 1951",Inactive,41.5051613,-81.6934446
Gamma Alpha,Midwestern State University,"Wichita Falls, Texas",Southwest,"May 5, 1951",Active,33.9137085,-98.4933873
Gamma Beta,Brigham Young University–Idaho,"Rexburg, Idaho",Western,"May 3, 1952",Inactive,43.8235163,-111.7870222
Gamma Gamma,Oklahoma Panhandle State University,"Goodwell, Oklahoma",Southwest,"May 22, 1952",Inactive,36.5931693,-101.6325249
Gamma Delta,Wayne State College,"Wayne, Nebraska",Midwest,"March 21, 1953",Active,42.1941294,-97.169623
Gamma Epsilon,Hobart College,"Geneva, New York",Northeast,"May 30, 1953",Inactive,42.8689552,-76.9777436
Gamma Zeta,Lamar University,"Beaumont, Texas",Southwest,"March 18, 1954",Active,30.0860459,-94.1018461
Gamma Eta,New Mexico State University,"Las Cruces, New Mexico",Southwest,"May 16, 1954",Active,32.3140354,-106.7798078
Gamma Theta,East Central University,"Ada, Oklahoma",Southwest,"May 9, 1954",Active,34.7743383,-96.6783651
Gamma Iota,University of New Mexico,"Albuquerque, New Mexico",Southwest,"May 23, 1954",Active,35.0841034,-106.6509851
Gamma Kappa,Northern Arizona University,"Flagstaff, Arizona",Western,"May 9, 1954",Active,35.199458,-111.6514259
Gamma Lambda,Doane College,"Crete, Nebraska",Midwest,"May 16, 1954",Inactive,40.628143,-96.961372
Gamma Mu,University of Pennsylvania,"Philadelphia, Pennsylvania",Northeast,"June 5, 1954",Inactive,39.9524152,-75.1635755
Gamma Nu,Florida State University,"Tallahassee, Florida",Southeast,"May 14, 1955",Active,30.4380832,-84.2809332
Gamma Xi,University of Maryland,"College Park, Maryland",Northeast,"May 14, 1955",Inactive,38.980666,-76.9369189
Gamma Omicron,Otterbein University,"Westerville, Ohio",North Central,"January 31, 1956",Active,40.1261743,-82.9290696
Gamma Pi,Purdue University,"West Lafayette, Indiana",North Central,"March 18, 1956",Active,40.4258686,-86.9080655
Gamma Rho,New Mexico Highlands University,"Las Vegas, New Mexico",Southwest,"June 1, 1956",Inactive,35.5939325,-105.2238969
Gamma Sigma,Texas Christian University,"Fort Worth, Texas",Southwest,"February 9, 1957",Active,32.753177,-97.3327459
Gamma Tau,Lycoming College,"Williamsport, Pennsylvania",Northeast,"April 6, 1957",Inactive,41.2493292,-77.0027671
Gamma Upsilon,Ohio Wesleyan University,"Delaware, Ohio",North Central,"May 19, 1957",Inactive,40.2317686,-82.9651045
Gamma Phi,Stephen F. Austin State University,"Nacogdoches, Texas",Southwest,"May 1, 1957",Active,31.6035129,-94.6554874
Gamma Chi,University of Southern Mississippi,"Hattiesburg, Mississippi",Southeast,"May 17, 1957",Active,31.3271189,-89.2903392
Gamma Psi,The College of William & Mary,"Williamsburg, Virginia",Northeast,"May 4, 1957",Inactive,37.2708788,-76.7074042
